wiki_db,level_1,level_0,index,commitsha,damaging_hard,damaging_likelybad_max,damaging_likelybad_min,damaging_likelygood_max,damaging_likelygood_min,damaging_maybebad_max,damaging_maybebad_min,damaging_soft,damaging_softest,damaging_verylikelybad_max,damaging_verylikelybad_min,extension_status,goodfaith_bad_max,goodfaith_bad_min,goodfaith_good_max,goodfaith_good_min,goodfaith_likelybad_max,goodfaith_likelybad_min,goodfaith_likelygood_max,goodfaith_likelygood_min,goodfaith_maybebad_max,goodfaith_maybebad_min,goodfaith_verylikelybad_max,goodfaith_verylikelybad_min,rcfilters_enabled,rcfilters_watchlist_enabled,useOres,useOresUi,has_ores,rcfilters_enabled_default,extension_status_default,rcfilters_watchlist_enabled_default,commitsha_default,has_extension,has_beta_extension,has_rcfilters,has_rcfilters_watchlist,commit_dt,deploy_dt,deploy_gap
hewiki,2,146,34004,05ccaa39718125f940db8a5f9e955549dec8f61a,,1.0,maximum recall @ precision >= 0.45,,,,,,,1,maximum recall @ precision >= 0.98,,,,,,maximum recall @ precision >= 0.45,0.0,,,,,maximum recall @ precision >= 0.99,0.0,,,True,,True,False,,True,05ccaa39718125f940db8a5f9e955549dec8f61a,False,False,False,True,2018-07-17 15:19:29,2018-07-17 22:24:00,0 days 07:04:31.000000000
hewiki,3,175,2,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,1.0,maximum recall @ precision >= 0.45,,,,,,,1,maximum recall @ precision >= 0.98,,,,,,maximum recall @ precision >= 0.45,0.0,,,,,maximum recall @ precision >= 0.99,0.0,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
huwiki,0,118,38585,dd898db2236a49df839c123daec4816a0b582dc9,,,,maximum precision @ recall >= 0.9,0.0,,maximum recall @ precision >= 0.15,,,,,,,,,,maximum recall @ precision >= 0.45,0.0,,,,,maximum recall @ precision >= 0.75,0.0,,,True,,True,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,True,False,2018-05-09 17:11:32,2018-05-09 18:04:00,0 days 00:52:28.000000000
huwiki,1,147,34018,05ccaa39718125f940db8a5f9e955549dec8f61a,,,,maximum precision @ recall >= 0.9,0.0,1.0,maximum recall @ precision >= 0.15,,,,,,,,,,maximum recall @ precision >= 0.45,0.0,,,,,maximum recall @ precision >= 0.75,0.0,,,True,,True,False,,True,05ccaa39718125f940db8a5f9e955549dec8f61a,False,False,False,True,2018-07-17 15:19:29,2018-07-17 22:24:00,0 days 07:04:31.000000000
huwiki,2,176,31,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,,,maximum precision @ recall >= 0.9,0.0,1.0,maximum recall @ precision >= 0.15,,,,,,,,,,maximum recall @ precision >= 0.45,0.0,,,,,maximum recall @ precision >= 0.75,0.0,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
itwiki,0,177,17,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,1.0,maximum recall @ precision >= 0.45,,,,,,,1,maximum recall @ precision >= 0.75,,,,,,,,,,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.9,0.0,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
kowiki,0,160,16172,5574c85114269ad038dc5332381b38050d9d3e40,,1.0,maximum recall @ precision >= 0.45,maximum recall @ precision >= 0.99,0.0,,,,,1,maximum recall @ precision >= 0.75,,,,,,,,1.0,maximum recall @ precision >= 0.99,maximum recall @ precision >= 0.15,0.0,,,,,,True,False,False,,True,72c9e6157babcbd9fa0021d1fe6e5fa220b6eb1e,False,False,True,False,2019-03-04 11:26:06,2019-03-04 16:27:00,0 days 05:00:54.000000000
kowiki,1,178,0,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,1.0,maximum recall @ precision >= 0.45,maximum recall @ precision >= 0.99,0.0,,,,,1,maximum recall @ precision >= 0.75,,,,,,,,1.0,maximum recall @ precision >= 0.99,maximum recall @ precision >= 0.15,0.0,,,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
lvwiki,0,116,38645,6656bbeabd2c84ef6db55ea16318e35bcc02e351,,,,maximum recall @ precision >= 0.998,0.0,,,,,,,,,,,,,,1.0,maximum recall @ precision => 0.997,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.9,0.0,,,True,,True,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,True,False,2018-05-09 16:47:47,2018-05-09 18:04:00,0 days 01:16:13.000000000
lvwiki,1,148,34007,05ccaa39718125f940db8a5f9e955549dec8f61a,,,,maximum recall @ precision >= 0.998,0.0,,,,,,,,,,,,,,1.0,maximum recall @ precision >= 0.997,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.9,0.0,,,True,,True,False,,True,05ccaa39718125f940db8a5f9e955549dec8f61a,False,False,False,True,2018-07-17 15:19:29,2018-07-17 22:24:00,0 days 07:04:31.000000000
lvwiki,2,179,23,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,,,maximum recall @ precision >= 0.998,0.0,,,,,,,,,,,,,,1.0,maximum recall @ precision >= 0.997,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.9,0.0,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
mediawikiwiki,0,125,54196,faa77e29375289fb63e88a5aef666fb2f887c2d4,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,False,True,,True,f068f460d2762ce628b285b16c9d4813532faa22,False,False,False,False,2018-06-16 00:00:00,2018-06-16 00:15:00,0 days 00:15:00.000000000
nlwiki,0,57,53774,e943dfe7efd737c034e9efcaf14a82951a4edd44,0.39,,,recall_at_precision(min_precision=0.99),0.0,,,0.75,0.95,,,beta,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,False,,True,,True,False,beta,,faa77e29375289fb63e88a5aef666fb2f887c2d4,False,True,False,False,2017-05-09 06:25:31,2017-05-09 13:33:00,0 days 07:07:29.000000000
nlwiki,1,105,41980,ed09270d8f160cc8b962c1cd6d8e0d675bd38f2c,,,,recall_at_precision(min_precision=0.99),0.0,,,,,,,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,True,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,True,False,2018-03-14 10:19:58,2018-03-14 17:18:00,0 days 06:58:02.000000000
nlwiki,2,149,34016,05ccaa39718125f940db8a5f9e955549dec8f61a,,,,maximum recall @ precision >= 0.99,0.0,,,,,,,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,,True,False,,True,05ccaa39718125f940db8a5f9e955549dec8f61a,False,False,False,True,2018-07-17 15:19:29,2018-07-17 22:24:00,0 days 07:04:31.000000000
nlwiki,3,180,8,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,,,maximum recall @ precision >= 0.99,0.0,,,,,,,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
plwiki,0,48,54000,f874d5850ccd9f1ccfb2eb8fb4cf7d7c230121b9,0.19,1.0,0.75,0.472,0.0,1.0,0.392,0.41,0.92,1,0.852,,0.46,0.0,1.0,0.587,,,,,0.909,0.0,,,,,True,,True,False,beta,,faa77e29375289fb63e88a5aef666fb2f887c2d4,False,True,False,False,2017-04-27 11:37:40,2017-04-27 18:41:00,0 days 07:03:20.000000000
plwiki,1,106,41966,ed09270d8f160cc8b962c1cd6d8e0d675bd38f2c,,1.0,recall_at_precision(min_precision=0.75),,,,,,,1,recall_at_precision(min_precision=0.98),,,,,,,,,,,,recall_at_precision(min_precision=0.98),0.0,,,True,,True,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,True,False,2018-03-14 10:19:58,2018-03-14 17:18:00,0 days 06:58:02.000000000
